u,v,w,p,q,r,phi,theta,psi,roll_ctrl,pitch_ctrl,yaw_ctrl,throttle_ctrl,E,N,U,u_dot,v_dot,w_dot,p_dot,q_dot,r_dot,phi_dot,theta_dot,psi_dot,delta_a,delta_e,delta_r,delta_T,timestamp
55.0026,0.015895,0.398426,7.6419e-05,2.69528e-05,0.000681151,0.0104836,0.00254732,1.54663,-0.00455863,-0.169868,0,0.526934,360995,4.43639e+06,2437.83,-0.00354869,0.0292858,-0.0152762,-0.000748197,-0.000658235,0.000398943,7.81547e-05,1.98105e-05,0.000681399,0.0579473,0.871753,0.142631,0.763467,1613781479512593973
55.0026,0.015895,0.398426,7.6419e-05,2.69528e-05,0.000681151,0.0104836,0.00254732,1.54663,-0.0045775,-0.169886,0,0.527047,360995,4.43639e+06,2437.83,-0.00354869,0.0292858,-0.0152762,-0.000748197,-0.000658235,0.000398943,7.81547e-05,1.98105e-05,0.000681399,0.0579473,0.871753,0.142631,0.763523,1613781479522564659
55.0026,0.0157437,0.398189,6.23951e-05,1.40942e-05,0.000687598,0.0104848,0.00254749,1.54664,-0.0045775,-0.169918,0,0.526954,360996,4.43639e+06,2437.83,-0.00374356,0.02936,-0.0147338,-0.000761776,-0.000721327,0.000375357,6.4147e-05,6.88429e-06,0.00068771,0.0577776,0.87213,0.142616,0.763477,1613781479532627284
55.0026,0.0157437,0.398189,6.23951e-05,1.40942e-05,0.000687598,0.0104848,0.00254749,1.54664,-0.00459727,-0.169923,0,0.527081,360996,4.43639e+06,2437.83,-0.00374356,0.02936,-0.0147338,-0.000761776,-0.000721327,0.000375357,6.4147e-05,6.88429e-06,0.00068771,0.0577776,0.87213,0.142616,0.763541,1613781479542628616
55.0025,0.0155964,0.397968,4.89614e-05,1.97695e-06,0.000693231,0.0104856,0.00254745,1.54665,-0.00459727,-0.169955,0,0.52699,360997,4.43639e+06,2437.83,-0.00392517,0.0294314,-0.014153,-0.000789786,-0.000733553,0.000351966,5.07273e-05,-5.29196e-06,0.000693215,0.0575987,0.87238,0.142603,0.763495,1613781479552633820
55.0025,0.0155964,0.397968,4.89614e-05,1.97695e-06,0.000693231,0.0104856,0.00254745,1.54665,-0.00461556,-0.169955,0,0.527108,360997,4.43639e+06,2437.83,-0.00392517,0.0294314,-0.014153,-0.000789786,-0.000733553,0.000351966,5.07273e-05,-5.29196e-06,0.000693215,0.0575987,0.87238,0.142603,0.763554,1613781479562668635
55.0025,0.0155964,0.397968,4.89614e-05,1.97695e-06,0.000693231,0.0104856,0.00254745,1.54665,-0.00461556,-0.169988,0,0.527019,360997,4.43639e+06,2437.83,-0.00392517,0.0294314,-0.014153,-0.000789786,-0.000733553,0.000351966,5.07273e-05,-5.29196e-06,0.000693215,0.0575987,0.87238,0.142603,0.76351,1613781479572632732
55.0023,0.0151662,0.397259,1.54933e-05,-3.66452e-05,0.000708452,0.0104867,0.00254577,1.54669,-0.00461556,-0.170021,0,0.526931,360999,4.43639e+06,2437.83,-0.00425437,0.0295639,-0.0129309,-0.000507295,-0.000699368,0.000305481,1.72958e-05,-4.40723e-05,0.000708031,0.0574549,0.872782,0.142579,0.763466,1613781479582616190
55.0023,0.0151662,0.397259,1.54933e-05,-3.66452e-05,0.000708452,0.0104867,0.00254577,1.54669,-0.00466798,-0.169885,0,0.527513,360999,4.43639e+06,2437.83,-0.00425437,0.0295639,-0.0129309,-0.000507295,-0.000699368,0.000305481,1.72958e-05,-4.40723e-05,0.000708031,0.0574549,0.872782,0.142579,0.763756,1613781479592631563
55.0022,0.0149812,0.396998,-3.27652e-06,-3.81247e-05,0.000713564,0.0104867,0.00254489,1.5467,-0.00466798,-0.169921,0,0.527431,361000,4.43639e+06,2437.83,-0.00455721,0.0296944,-0.0112916,-0.000889037,-6.1834e-05,0.000257392,-1.46169e-06,-4.56054e-05,0.000713127,0.0569605,0.871589,0.142557,0.763715,1613781479602600204
55.0021,0.0148554,0.396826,-1.61954e-05,-4.24055e-05,0.000716651,0.0104866,0.00254426,1.54671,-0.00468987,-0.170006,0,0.527691,361001,4.43639e+06,2437.83,-0.00467534,0.0297566,-0.0109122,-0.000948805,-0.000304445,0.000235152,-1.43733e-05,-4.99182e-05,0.000716169,0.0567628,0.872358,0.142548,0.763845,1613781479612767998
55.0021,0.014795,0.396748,-2.24122e-05,-4.49956e-05,0.000717989,0.0104865,0.00254395,1.54671,-0.00470459,-0.170048,0,0.52783,361001,4.43639e+06,2437.83,-0.00471821,0.0297788,-0.0107899,-0.000951403,-0.000391727,0.000217865,-2.0587e-05,-5.25221e-05,0.00071748,0.0566328,0.872712,0.142542,0.763915,1613781479622625064
55.002,0.014742,0.396671,-2.80069e-05,-4.72991e-05,0.00071927,0.0104863,0.00254363,1.54672,-0.00471133,-0.170082,0,0.52785,361002,4.43639e+06,2437.83,-0.00475549,0.0298032,-0.0105492,-0.000951403,-0.000391727,0.000217865,-2.61787e-05,-5.48389e-05,0.000718737,0.0566328,0.872712,0.142542,0.763925,1613781479632640096
