u,v,w,p,q,r,phi,theta,psi,roll_ctrl,pitch_ctrl,yaw_ctrl,throttle_ctrl,E,N,U,u_dot,v_dot,w_dot,p_dot,q_dot,r_dot,phi_dot,theta_dot,psi_dot,delta_a,delta_e,delta_r,delta_T,timestamp
54.2847,0.0067884,0.422024,2.23675e-05,-0.00322024,-0.00139536,-2.03045e-05,0.0249973,1.49395,-0.00406154,-0.1708,0,0.5343,362007,4.43646e+06,2457.61,-0.190731,-0.0645992,0.180846,-4.56227e-06,-0.000864145,-1.14291e-06,-1.25184e-05,-0.00322027,-0.00139573,0.0630219,0.871301,0.147232,0.76715,1616528495421113507
54.2847,0.0067884,0.422024,2.23675e-05,-0.00322024,-0.00139536,-2.03045e-05,0.0249973,1.49395,-0.00406044,-0.1708,0,0.5343,362007,4.43646e+06,2457.61,-0.190731,-0.0645992,0.180846,-4.56227e-06,-0.000864145,-1.14291e-06,-1.25184e-05,-0.00322027,-0.00139573,0.0630219,0.871301,0.147232,0.76715,1616528495431107632
54.2805,0.00682759,0.422198,2.23621e-05,-0.00323969,-0.00139539,-2.05896e-05,0.0249242,1.49392,-0.00406038,-0.1708,0,0.5343,362009,4.43646e+06,2457.64,-0.189843,-0.0646886,0.181874,-5.20945e-06,-0.00085987,-1.02335e-06,-1.24223e-05,-0.00323972,-0.00139575,0.0630335,0.871251,0.147232,0.76715,1616528495441078821
54.2805,0.00682759,0.422198,2.23621e-05,-0.00323969,-0.00139539,-2.05896e-05,0.0249242,1.49392,-0.0040593,-0.1708,0,0.5343,362009,4.43646e+06,2457.64,-0.189843,-0.0646886,0.181874,-5.20945e-06,-0.00085987,-1.02335e-06,-1.24223e-05,-0.00323972,-0.00139575,0.0630335,0.871251,0.147232,0.76715,1616528495451085352
54.2782,0.00684521,0.422297,2.2344e-05,-0.00325045,-0.00139538,-2.0746e-05,0.0248834,1.4939,-0.00405923,-0.1708,0,0.5343,362009,4.43646e+06,2457.65,-0.189162,-0.0647641,0.182661,-3.16805e-06,-0.000858563,1.23469e-06,-1.23833e-05,-0.00325048,-0.00139574,0.0630445,0.871213,0.147232,0.76715,1616528495461109985
54.2758,0.00687401,0.422403,2.23376e-05,-0.003262,-0.00139537,-2.09128e-05,0.0248396,1.49388,-0.00405861,-0.1708,0,0.5343,362010,4.43646e+06,2457.67,-0.188653,-0.0648146,0.183244,-4.21349e-06,-0.000857124,1.22951e-06,-1.23282e-05,-0.00326203,-0.00139573,0.0630514,0.871185,0.147232,0.76715,1616528495471088853
54.2734,0.0068952,0.422507,2.2334e-05,-0.00327337,-0.00139535,-2.10758e-05,0.0247962,1.49386,-0.00405795,-0.1708,0,0.5343,362011,4.43646e+06,2457.68,-0.188129,-0.0648678,0.18383,-2.63814e-06,-0.000856264,1.8715e-06,-1.22706e-05,-0.0032734,-0.00139571,0.063058,0.871157,0.147232,0.76715,1616528495481114414
54.2715,0.00691491,0.422589,2.23413e-05,-0.00328223,-0.00139532,-2.11987e-05,0.0247622,1.49385,-0.0040573,-0.1708,0,0.5343,362011,4.43646e+06,2457.7,-0.187667,-0.0649162,0.184344,-3.79732e-06,-0.000855459,2.87641e-06,-1.22153e-05,-0.00328226,-0.00139568,0.0630646,0.871132,0.147232,0.76715,1616528495491129176
54.2715,0.00691491,0.422589,2.23413e-05,-0.00328223,-0.00139532,-2.11987e-05,0.0247622,1.49385,-0.00405679,-0.1708,0,0.5343,362011,4.43646e+06,2457.7,-0.187667,-0.0649162,0.184344,-3.79732e-06,-0.000855459,2.87641e-06,-1.22153e-05,-0.00328226,-0.00139568,0.0630646,0.871132,0.147232,0.76715,1616528495501155176
54.2715,0.00691491,0.422589,2.23413e-05,-0.00328223,-0.00139532,-2.11987e-05,0.0247622,1.49385,-0.00405673,-0.1708,0,0.5343,362011,4.43646e+06,2457.7,-0.187667,-0.0649162,0.184344,-3.79732e-06,-0.000855459,2.87641e-06,-1.22153e-05,-0.00328226,-0.00139568,0.0630646,0.871132,0.147232,0.76715,1616528495511133889
