u,v,w,p,q,r,phi,theta,psi,roll_ctrl,pitch_ctrl,yaw_ctrl,throttle_ctrl,E,N,U,u_dot,v_dot,w_dot,p_dot,q_dot,r_dot,phi_dot,theta_dot,psi_dot,delta_a,delta_e,delta_r,delta_T,timestamp
53.9774,0.0103537,0.432839,2.96556e-05,-0.00475145,-0.0014039,-0.000284073,-0.00434285,1.51391,-0.00398597,-0.1708,0,0.5343,361598,4.43641e+06,2443.55,0.105784,-0.0817721,0.251946,-2.09136e-06,0.000458512,3.76435e-05,3.57467e-05,-0.00475185,-0.00140256,0.0637699,0.866759,0.147251,0.76715,1616511338278292700
53.9774,0.0103537,0.432839,2.96556e-05,-0.00475145,-0.0014039,-0.000284073,-0.00434285,1.51391,-0.00398696,-0.1708,0,0.5343,361598,4.43641e+06,2443.55,0.105784,-0.0817721,0.251946,-2.09136e-06,0.000458512,3.76435e-05,3.57467e-05,-0.00475185,-0.00140256,0.0637699,0.866759,0.147251,0.76715,1616511338288315226
53.9798,0.010324,0.432741,2.96918e-05,-0.00474203,-0.00140312,-0.000283341,-0.00443985,1.51388,-0.00398611,-0.1708,0,0.5343,361599,4.43641e+06,2443.54,0.106494,-0.081782,0.251501,4.4771e-06,0.000461253,3.72616e-05,3.59155e-05,-0.00474243,-0.00140179,0.0637685,0.866776,0.14725,0.76715,1616511338298314126
53.9798,0.010324,0.432741,2.96918e-05,-0.00474203,-0.00140312,-0.000283341,-0.00443985,1.51388,-0.00398789,-0.1708,0,0.5343,361599,4.43641e+06,2443.54,0.106494,-0.081782,0.251501,4.4771e-06,0.000461253,3.72616e-05,3.59155e-05,-0.00474243,-0.00140179,0.0637685,0.866776,0.14725,0.76715,1616511338308316690
53.9817,0.0103108,0.432658,2.9719e-05,-0.00473421,-0.00140251,-0.000282735,-0.00451969,1.51386,-0.00398704,-0.1708,0,0.5343,361600,4.43641e+06,2443.53,0.107247,-0.0817962,0.251015,3.27728e-06,0.000464834,3.56382e-05,3.60519e-05,-0.00473461,-0.00140119,0.0637591,0.866795,0.147248,0.76715,1616511338318287756
53.9829,0.0103099,0.432603,2.96391e-05,-0.00472904,-0.00140211,-0.000282336,-0.00457208,1.51384,-0.00398838,-0.1708,0,0.5343,361600,4.43641e+06,2443.53,0.107808,-0.0818136,0.250653,-4.43088e-06,0.000467558,3.65088e-05,3.60436e-05,-0.00472943,-0.00140079,0.0637457,0.866808,0.147247,0.76715,1616511338328288135
53.9829,0.0103099,0.432603,2.96391e-05,-0.00472904,-0.00140211,-0.000282336,-0.00457208,1.51384,-0.00398897,-0.1708,0,0.5343,361600,4.43641e+06,2443.53,0.107808,-0.0818136,0.250653,-4.43088e-06,0.000467558,3.65088e-05,3.60436e-05,-0.00472943,-0.00140079,0.0637457,0.866808,0.147247,0.76715,1616511338338344386
53.9844,0.0102996,0.432537,2.9511e-05,-0.00472286,-0.00140161,-0.000281862,-0.00463429,1.51383,-0.00398812,-0.1708,0,0.5343,361601,4.43641e+06,2443.52,0.108297,-0.0818247,0.250339,-8.61065e-06,0.000469882,3.7656e-05,3.60003e-05,-0.00472325,-0.0014003,0.0637399,0.86682,0.147246,0.76715,1616511338348319205
53.9861,0.0102697,0.432465,2.95145e-05,-0.00471604,-0.00140109,-0.000281342,-0.00470248,1.51381,-0.00398898,-0.1708,0,0.5343,361602,4.43641e+06,2443.51,0.108853,-0.0818305,0.249977,3.39603e-06,0.000472435,3.54418e-05,3.60969e-05,-0.00471643,-0.00139978,0.0637399,0.866834,0.147245,0.76715,1616511338358285509
53.9877,0.0102696,0.432395,2.92471e-05,-0.00470946,-0.00140063,-0.000280843,-0.00476789,1.51379,-0.00399001,-0.1708,0,0.5343,361603,4.43641e+06,2443.51,0.109423,-0.08184,0.249558,-2.32124e-05,0.000474012,3.40651e-05,3.59189e-05,-0.00470985,-0.00139932,0.0637297,0.866848,0.147244,0.76715,1616511338368324064
53.9877,0.0102696,0.432395,2.92471e-05,-0.00470946,-0.00140063,-0.000280843,-0.00476789,1.51379,-0.00399096,-0.1708,0,0.5343,361603,4.43641e+06,2443.51,0.109423,-0.08184,0.249558,-2.32124e-05,0.000474012,3.40651e-05,3.59189e-05,-0.00470985,-0.00139932,0.0637297,0.866848,0.147244,0.76715,1616511338378315750
53.9893,0.0102471,0.432324,2.90534e-05,-0.0047028,-0.00140015,-0.000280343,-0.0048337,1.51377,-0.00399012,-0.1708,0,0.5343,361603,4.43641e+06,2443.5,0.109982,-0.0818482,0.24919,-9.02325e-06,0.000476766,3.26566e-05,3.5815e-05,-0.0047032,-0.00139885,0.063729,0.866862,0.147243,0.76715,1616511338388313908
