u,v,w,p,q,r,phi,theta,psi,roll_ctrl,pitch_ctrl,yaw_ctrl,throttle_ctrl,E,N,U,u_dot,v_dot,w_dot,p_dot,q_dot,r_dot,phi_dot,theta_dot,psi_dot,delta_a,delta_e,delta_r,delta_T,timestamp
-0.00087536,0.000116579,-0.000284016,5.14171e-05,-0.000281654,-0.000145311,-0.00648697,0.023589,3.13966,0.00785674,1,0,-1,366990,4.42991e+06,224.312,-0.00183354,0.0123783,0.0376047,-0.00519159,0.0437156,-0.000888049,4.80319e-05,-0.000282591,-0.000143521,0.237667,-20,0.100399,0,1621627943321172004
-0.000760515,0.000122755,0.000226176,1.51589e-05,0.000395088,-0.000160148,-0.00648671,0.0235926,3.13965,0.00784326,1,0,-1,366990,4.42991e+06,224.312,-0.000908574,0.00488459,0.0296294,-0.00124208,0.0414439,-0.000924215,1.13195e-05,0.000394041,-0.000162752,0.237595,-20,0.100437,0,1621627943331201690
-0.000760515,0.000122755,0.000226176,1.51589e-05,0.000395088,-0.000160148,-0.00648671,0.0235926,3.13965,0.00783502,1,0,-1,366990,4.42991e+06,224.312,-0.000908574,0.00488459,0.0296294,-0.00124208,0.0414439,-0.000924215,1.13195e-05,0.000394041,-0.000162752,0.237595,-20,0.100437,0,1621627943341200030
-0.000778276,0.000122508,0.000550976,9.57019e-07,0.000925959,-0.00017088,-0.00648669,0.0236044,3.13965,0.00783502,1,0,-1,366990,4.42991e+06,224.312,-0.000389341,-0.00320812,0.0195842,-0.00120093,0.033969,-0.000650989,-3.21897e-06,0.000924831,-0.000176932,0.237505,-20,0.100476,0,1621627943351165308
-0.000898573,0.00011822,0.000783665,-1.28055e-05,0.00140158,-0.000179203,-0.00648691,0.0236246,3.13965,0.00784507,1,0,-1,366990,4.42991e+06,224.312,-6.80639e-06,-0.00919146,0.0132956,-0.00078642,0.0290798,-0.000503139,-1.72547e-05,0.00140038,-0.000188344,0.23769,-20,0.100502,0,1621627943361224415
-0.000898573,0.00011822,0.000783665,-1.28055e-05,0.00140158,-0.000179203,-0.00648691,0.0236246,3.13965,0.00786036,-1,0,-1,366990,4.42991e+06,224.312,-6.80639e-06,-0.00919146,0.0132956,-0.00078642,0.0290798,-0.000503139,-1.72547e-05,0.00140038,-0.000188344,0.23769,-20,0.100502,0,1621627943371202023
-0.0010384,0.000100978,0.000111368,3.39907e-05,0.000565574,-0.000162365,-0.00648659,0.0236378,3.13964,0.00786036,-1,0,-1,366990,4.42991e+06,224.312,0.00164043,-0.00483371,-0.0350904,0.00260603,-0.0462637,0.000923389,3.00654e-05,0.000564509,-0.000166076,0.237881,14.755,0.100488,0,1621627943381170019
-0.0010384,0.000100978,0.000111368,3.39907e-05,0.000565574,-0.000162365,-0.00648659,0.0236378,3.13964,0.00785052,-1,0,-1,366990,4.42991e+06,224.312,0.00164043,-0.00483371,-0.0350904,0.00260603,-0.0462637,0.000923389,3.00654e-05,0.000564509,-0.000166076,0.237881,14.755,0.100488,0,1621627943391203186
-0.00100188,9.38727e-05,-0.000324917,6.0842e-05,-0.000103812,-0.000148304,-0.00648576,0.0236387,3.13964,0.00785052,-1,0,-1,366990,4.42991e+06,224.312,0.000922987,0.00463009,-0.0243961,0.00153258,-0.0397977,0.000835784,5.73516e-05,-0.000104772,-0.000147669,0.237655,14.7407,0.100444,0,1621627943401173509
-0.000843756,9.01939e-05,-0.000717962,0.000114599,-0.000728146,-0.00013326,-0.0064843,0.023629,3.13964,0.00785005,-1,0,-1,366990,4.42991e+06,224.312,0.000832613,0.011176,-0.025754,0.00597245,-0.0364663,0.000905198,0.000111561,-0.000728995,-0.000128571,0.237614,14.7587,0.100404,0,1621627943411197680
