u,v,w,p,q,r,phi,theta,psi,roll_ctrl,pitch_ctrl,yaw_ctrl,throttle_ctrl,E,N,U,u_dot,v_dot,w_dot,p_dot,q_dot,r_dot,phi_dot,theta_dot,psi_dot,delta_a,delta_e,delta_r,delta_T,timestamp
58.8758,0.0515751,0.280804,0.00164226,0.0183515,0.00162863,0.00430581,0.0065241,1.7016,-0.00513219,-0.1706,0,0.5348,362191,4.43607e+06,2438.39,-0.168807,-0.0477964,-1.11599,-0.00211694,-0.0237049,0.000938044,0.0016534,0.0183443,0.00170767,0.0499345,0.937846,0.140539,0.7674,1620826363155934527
58.8758,0.0515751,0.280804,0.00164226,0.0183515,0.00162863,0.00430581,0.0065241,1.7016,-0.00513219,-0.1706,0,0.5348,362191,4.43607e+06,2438.39,-0.168807,-0.0477964,-1.11599,-0.00211694,-0.0237049,0.000938044,0.0016534,0.0183443,0.00170767,0.0499345,0.937846,0.140539,0.7674,1620826363165987430
58.8721,0.049088,0.279814,0.00159789,0.0179164,0.00164317,0.00433768,0.00687855,1.70164,-0.00516698,-0.1706,0,0.5348,362192,4.43607e+06,2438.4,-0.174513,-0.0471435,-1.1108,-0.00207666,-0.0215346,0.000663199,0.00160973,0.0179091,0.00172091,0.0496462,0.935607,0.140503,0.7674,1620826363175959682
58.8721,0.049088,0.279814,0.00159789,0.0179164,0.00164317,0.00433768,0.00687855,1.70164,-0.00520521,-0.1706,0,0.5348,362192,4.43607e+06,2438.4,-0.174513,-0.0471435,-1.1108,-0.00207666,-0.0215346,0.000663199,0.00160973,0.0179091,0.00172091,0.0496462,0.935607,0.140503,0.7674,1620826363185952085
58.8697,0.0475088,0.279041,0.00156961,0.0176666,0.00164878,0.00435746,0.00709926,1.70166,-0.00520521,-0.1706,0,0.5348,362193,4.43607e+06,2438.41,-0.179397,-0.0466384,-1.10564,-0.00219155,-0.0197255,0.000404772,0.00158186,0.0176592,0.00172579,0.0493126,0.933762,0.140481,0.7674,1620826363195959907
58.8663,0.0453745,0.277704,0.00153414,0.017306,0.00165331,0.00438404,0.00739688,1.70169,-0.00522895,-0.1706,0,0.5348,362194,4.43607e+06,2438.42,-0.183857,-0.0461096,-1.10396,-0.00172594,-0.0231139,0.000199213,0.00154693,0.0172986,0.00172921,0.0491236,0.932144,0.14047,0.7674,1620826363205929387
58.8663,0.0453745,0.277704,0.00153414,0.017306,0.00165331,0.00438404,0.00739688,1.70169,-0.00526085,-0.1706,0,0.5348,362194,4.43607e+06,2438.42,-0.183857,-0.0461096,-1.10396,-0.00172594,-0.0231139,0.000199213,0.00154693,0.0172986,0.00172921,0.0491236,0.932144,0.14047,0.7674,1620826363215963764
58.8624,0.0429409,0.275803,0.00149348,0.0168924,0.0016536,0.00441378,0.00773009,1.70172,-0.00526085,-0.1706,0,0.5348,362195,4.43607e+06,2438.43,-0.189012,-0.0454801,-1.096,-0.00191916,-0.0204151,-5.69481e-05,0.00150684,0.016885,0.00172819,0.0488559,0.929773,0.140464,0.7674,1620826363225958353
58.8624,0.0429409,0.275803,0.00149348,0.0168924,0.0016536,0.00441378,0.00773009,1.70172,-0.00529654,-0.1706,0,0.5348,362195,4.43607e+06,2438.43,-0.189012,-0.0454801,-1.096,-0.00191916,-0.0204151,-5.69481e-05,0.00150684,0.016885,0.00172819,0.0488559,0.929773,0.140464,0.7674,1620826363235962776
58.8583,0.0405216,0.273652,0.00145216,0.0165311,0.0016485,0.00444263,0.00805487,1.70175,-0.00529654,-0.1706,0,0.5348,362196,4.43607e+06,2438.44,-0.194361,-0.0448308,-1.08692,-0.00197078,-0.0178467,-0.00033016,0.00146603,0.0165236,0.00172198,0.0485563,0.927415,0.140469,0.7674,1620826363245954799
58.8583,0.0405216,0.273652,0.00145216,0.0165311,0.0016485,0.00444263,0.00805487,1.70175,-0.00533115,-0.1706,0,0.5348,362196,4.43607e+06,2438.44,-0.194361,-0.0448308,-1.08692,-0.00197078,-0.0178467,-0.00033016,0.00146603,0.0165236,0.00172198,0.0485563,0.927415,0.140469,0.7674,1620826363255926433
58.855,0.0386295,0.271843,0.00141891,0.0162821,0.0016404,0.00446484,0.00830672,1.70178,-0.00533115,-0.1706,0,0.5348,362197,4.43607e+06,2438.45,-0.199023,-0.0442761,-1.07846,-0.00205834,-0.0156836,-0.000578321,0.00143314,0.0162746,0.00171314,0.0482614,0.925471,0.140485,0.7674,1620826363265997833
